wp,name,location,type,state,size,difficulty,terrain,favorites,hidden,author,attributes,mx,my
GC803B6,Moravské Náměstí,"49 11m 54.312s N, 16 36m 35.712s E",multicache,True,micro,3.5,1.0,3,2018-11-09,nudavbrne,"{'wheelchair': True, 'winter': True, 'available': True, 'touristok': True, 'public': True, 'onehour': True, 'stealth': True, 'hike_short': True, 'bicycles': True}",0.49209999999999693,0.5158709677419304
GC84RA1,Kačerský pubquiz 2,"49 11m 56.652s N, 16 36m 44.46s E",event,True,other,1.0,1.5,0,2019-04-10,Etigo,"{'food': True, 'teamwork': True, 'restrooms': True, 'water': True, 'public': True, 'parking': True, 'kids': True, 'fee': True}",0.4953499999999983,0.5237096774193509
GCT686,Bronzmukl,"49 11m 59.1s N, 16 36m 32.94s E",traditional,True,micro,1.5,1.5,7,2006-01-27,seatice (adoptováno od kapitanR),"{'dogs': True, 'available': True, 'night': True, 'public': True, 'bicycles': True, 'stealth': True, 'firstaid': True}",0.4987500000000118,0.5133870967741909
GC7H1FG,Na kus reci 14,"49 11m 56.868s N, 16 36m 45.072s E",event,True,other,1.0,1.5,0,2019-04-25,Etigo,"{'wheelchair': False, 'food': True, 'restrooms': True, 'water': True, 'public': True, 'parking': True, 'fee': True}",0.49564999999998693,0.5242580645161273
GC8040J,Kostel Nanebevzetí Panny Marie,"49 11m 48.192s N, 16 36m 36.288s E",multicache,True,micro,1.0,1.0,3,2018-11-13,nudavbrne,"{'onehour': True, 'available': True, 'night': True, 'winter': True, 'wheelchair': True, 'stealth': True, 'stroller': True, 'touristok': True}",0.4835999999999988,0.5163870967741919
GC86BR6,AEON - Meet & Greet in Brno,"49 11m 52.8s N, 16 36m 26.64s E",event,True,other,1.0,1.5,0,2019-05-18,Stelrich,"{'kids': True, 'public': True, 'touristok': True}",0.4900000000000053,0.5077419354838644
GC84B6J,Den ma 23 hodin!,"49 11m 51s N, 16 36m 27s E",event,True,other,1.0,1.0,0,2019-03-31,Mikin11,"{'dogs': True, 'onehour': True, 'night': True, 'wheelchair': True, 'bicycles': True, 'parking': True, 'public': True, 'hike_short': True, 'seasonal': True, 'touristok': True, 'teamwork': True}",0.4874999999999933,0.5080645161290364
GC37F0N,Jurkovic v Brne,"49 11m 45.6s N, 16 36m 39.96s E",multicache,True,micro,3.0,2.5,16,2011-11-09,Schvon_CZ,"{'wheelchair': False, 'dogs': True, 'kids': True, 'available': True, 'winter': True, 'parking': True, 'public': True, 'bicycles': True, 'motorcycles': True, 'jeeps': True, 'stealth': True, 'stroller': True, 'hike_med': True, 'food': True, 'touristok': True, 'firstaid': True}",0.4799999999999929,0.5196774193548386
GC62KZM,Kostel sv. Jakuba Vetsiho,"49 11m 47.148s N, 16 36m 29.628s E",traditional,True,micro,1.0,1.5,13,2015-09-01,Thami,"{'available': True, 'night': True, 'water': True, 'restrooms': True, 'stealth': True, 'food': True, 'touristok': True, 'firstaid': True}",0.48215000000000036,0.5104193548387048
GC3V274,Kozi keska,"49 11m 45.312s N, 16 36m 34.632s E",mystery,True,small,3.5,2.5,26,2012-08-21,suzhor,{'dogs': True},0.479600000000008,0.5149032258064489
